,ISIN,NAME
624,BMG210A71016,Grand Pharmaceutical Group
625,BMG2112G1087,Chinese People Holdings
626,BMG2113B1081,China Resources Gas
627,BMG211591018,China Yurun Food
628,BMG2117K1045,China Oceanwide Holdings
629,BMG2120L1072,China Display Optoelectronics
630,BMG2122W1010,Chuang's China Investments
631,BMG2133H1016,China Medical & HealthCare
632,BMG2154F1095,China Foods
633,BMG2154Z1216,China Fortune
634,BMG2155W1010,China Oil & Gas
635,BMG2161E1113,China Singyes Solar
636,BMG216341039,China Ecotourism Group
637,BMG2178K1009,CK Infrastructure
638,BMG2345T1099,Concord New Energy Group
639,BMG2381M1091,Continental Aerospace Technologies
640,BMG2442N1048,Cosco Shipping Ports
641,BMG2519Y1084,Credicorp
642,BMG2624N1535,Dairy Farm
643,BMG2759B1072,Digital China Holdings
644,BMG3036C2239,Emperor
645,BMG3122U1457,Esprit
646,BMG313891027,Emperor Entertainment
647,BMG3223R1088,Everest Re
648,BMG348041077,First Pacific
649,BMG359472021,Flex LNG
650,BMG3654D1074,Founder
651,BMG3728V1090,Gan Limited
652,BMG3775G1539,GCL New Energy
653,BMG3922B1072,Genpact
654,BMG3939X1002,Glorious Sun
655,BMG396372051,Golden Ocean
656,BMG3978C1249,GOME Retail Holdings
657,BMG4069C1486,Great Eagle HANDELSUNIVERSUM
658,BMG4182K1009,Guangdong Land
659,BMG4232X1020,Haitong International
660,BMG455841020,HAL Trust
661,BMG4587L1090,Hongkong Land
662,BMG4593F1389,Hiscox
663,BMG4600H1198,Hopson Development Holdings
664,BMG4639H1227,Huabo
665,BMG464011086,Hua Yin International Holdings
666,BMG4709J1071,Productive Technologies
667,BMG491BT1088,Invesco
668,BMG507361001,Jardine Matheson
669,BMG5150J1577,Johnson Electric
670,BMG524401079,Kerry Properties
671,BMG5266H1034,Kingston Financial
672,BMG5320C1082,KunLun Energy
673,BMG5321P1169,K.Wah International
674,BMG5361W1047,Lancashire Holdings
675,BMG5695X1258,Luk Fook Hldgs
676,BMG570071099,Luye Pharma Grp
677,BMG5700D1065,Luks Group Vietnam
678,BMG5753U1128,Maiden Holdings
679,BMG5800U1071,Man Wah Holdings
680,BMG6331P1041,Alpha & Omega Semiconductor
681,BMG6359F1370,Nabors Industries
682,BMG6389N1002,Nan Hai
683,BMG6469T1009,NewOcean Energy
684,BMG653181005,Nine Dragons Paper
685,BMG657731060,Nordic American Tankers
686,BMG667211046,Norwegian Cruise Line
687,BMG677491539,Orient Overseas
688,BMG684371393,Pacific Basin Shipping
689,BMG6955J1036,PAX Global Technology
690,BMG702782084,Petra Diamonds
691,BMG709641044,PINE Technology
692,BMG7403L1046,Realord Group Holdings
693,BMG7738W1064,SFL Corporation
694,BMG8063F1068,Shangri-La Asia
695,BMG8086V1467,Shenzhen International
